source,text,url,page,language,esi_label,symptom_id
endometriosis_org,"News Defining standards for endometriosis follow-up and improvement of care 21 August 2026 The EndoFollowUpProject aims to define standards for endometriosis follow-up and improvement of care from the patients’ perspective. Fill in  the survey by 31 Oct 2026. Behind the headlines: endometriosis and ovarian cancer 19 July 2024 What are the facts behind the headlines about endometriosis and risk of ovarian cancer? Global study shows the experience of endometriosis is rooted in a person’s genetics 12 April 2023 DNA from 60,600 women with endometriosis reveals evidence of shared genetic basis for endo and other causes of pain. Facts about endometriosis 10 March 2021 FACTS about endometriosis to aid journalists, medical writers, bloggers, etc, who wish to ensure their publications about endometriosis are correct. Myths and misconceptions in endometriosis 20 November 2016 Diagnostic delay and hit and miss treatments in endometriosis are often due to myths and mis-conceptions about the disease – get the FACTS here. All News",https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,Defining standards for endometriosis follow-up and improvement of care 21 August 2026 The EndoFollowUpProject aims to define standards for endometriosis follow-up and improvement of care from the patients’ perspective. Fill in  the survey by 31 Oct 2026.,https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,Behind the headlines: endometriosis and ovarian cancer 19 July 2024 What are the facts behind the headlines about endometriosis and risk of ovarian cancer?,https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,"Global study shows the experience of endometriosis is rooted in a person’s genetics 12 April 2023 DNA from 60,600 women with endometriosis reveals evidence of shared genetic basis for endo and other causes of pain.",https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,"Facts about endometriosis 10 March 2021 FACTS about endometriosis to aid journalists, medical writers, bloggers, etc, who wish to ensure their publications about endometriosis are correct.",https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,Myths and misconceptions in endometriosis 20 November 2016 Diagnostic delay and hit and miss treatments in endometriosis are often due to myths and mis-conceptions about the disease – get the FACTS here.,https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,Oct 23 Asian Congress of Endometriosis and Adenomyosis 2026 | Singapore,https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,"Oct 26 IASP 2026 World Congress on Pain | Bankok, Thailand",https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,"Jun 2 17th World Congress on Endometriosis | Istanbul, Turkey",https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
endometriosis_org,We use cookies to optimise site functionality and give you the best possible experience.,https://www.endometriosis.org/forums/?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"Umbilical Endometriosis Hi, I’ve not been formally diagnosed yet but I have been diagnosed with adenomyosis and fibroids. I have been suffering with a painful belly button. Which has... Latest reply by Dogmad6 • 1 hour ago Well unfortunately I still suffer with endometriosis but my surgeries greatly improved things for me. I live with it.  However, it's not in my umbilicus. That...",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"Hi, I’ve not been formally diagnosed yet but I have been diagnosed with adenomyosis and fibroids. I have been suffering with a painful belly button. Which has...",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"Latest reply by Dogmad6 • 1 hour ago Well unfortunately I still suffer with endometriosis but my surgeries greatly improved things for me. I live with it.  However, it's not in my umbilicus. That...",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,endometriosis diagnosis and cartilage loss hi I was wondering if anyone else has been diagnosed with loss of cartilage leading to pain? My daughter is 17 and has just received a diagnosis of... Daffodil15 • 3 hours ago Be the first to reply,https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,hi I was wondering if anyone else has been diagnosed with loss of cartilage leading to pain? My daughter is 17 and has just received a diagnosis of...,https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,Experience with Desogestrel? I got diagnosed with endometriosis back in June this year and I got prescribed Desogestrel (birth control which is meant to stop your periods) shortly after... RevisedVintage • 6 hours ago Be the first to reply,https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,I got diagnosed with endometriosis back in June this year and I got prescribed Desogestrel (birth control which is meant to stop your periods) shortly after...,https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"What next Sorry for the long post.After years and years of irregular painfull heavy periods which I still have, in 2022 I started hrt tablets which I had spotting and... Triedlouis • 8 hours ago Be the first to reply",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"Sorry for the long post.After years and years of irregular painfull heavy periods which I still have, in 2022 I started hrt tablets which I had spotting and...",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"What next? I have recently been diagnosed with deep infiltrating endometriosis, adenomyosis,  ovarian cysts and fibroids, and now trying to make a decision whether to... Latest reply by SealedUser • 8 hours ago On hrt and no other conditions. Yes I knew about the endometriosis not having a “cure”. My main concern was that it has started to attach to the bowel so obvs...",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,"I have recently been diagnosed with deep infiltrating endometriosis, adenomyosis,  ovarian cysts and fibroids, and now trying to make a decision whether to...",https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
